contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,contract_type,exp_date,current_price,mid_price,bid_ask_diff,moneyness,days_to_exp,T
AMZN260130C00295000,2026-01-22 16:13:50+00:00,295.0,0.03,0.0,0.01,0.0,0.0,1.0,206,0.9062509375,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.8104068044888771,0,0.0
AMZN260130C00300000,2026-01-27 19:53:44+00:00,300.0,0.01,0.0,0.04,0.0,0.0,8.0,701,1.1171919140625,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.02,0.04,0.7969000244140625,0,0.0
AMZN260130C00305000,2026-01-26 15:51:28+00:00,305.0,0.01,0.0,0.2,0.0,0.0,1.0,143,1.421877890625,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.1,0.2,0.7838360895876024,0,0.0
AMZN260130C00310000,2026-01-29 14:30:01+00:00,310.0,0.01,0.0,0.1,-0.01,-50.0,1.0,106,1.3828155859374998,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.05,0.1,0.7711935720136088,0,0.0
AMZN260130C00320000,2026-01-27 16:03:55+00:00,320.0,0.01,0.0,0.1,0.0,0.0,1.0,21,1.5312523437499999,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.05,0.1,0.7470937728881836,0,0.0
AMZN260130C00325000,2026-01-20 18:52:32+00:00,325.0,0.01,0.0,0.1,0.0,0.0,2.0,9,1.6015644921874999,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.05,0.1,0.7356000225360577,0,0.0
AMZN260130C00330000,2026-01-12 15:10:15+00:00,330.0,0.01,0.0,0.01,0.0,0.0,12.0,27,1.3750031249999999,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.7244545676491477,0,0.0
AMZN260130C00335000,2026-01-23 17:41:03+00:00,335.0,0.01,0.0,0.01,0.0,0.0,2.0,2,1.40625296875,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.7136418129081157,0,0.0
AMZN260130C00340000,2026-01-29 14:30:03+00:00,340.0,0.01,0.0,0.01,0.0,0.0,1.0,217,1.46875265625,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.7031470803653492,0,0.0
AMZN260130C00345000,2026-01-28 14:30:08+00:00,345.0,0.01,0.0,0.01,0.0,0.0,2.0,25,1.5000025,False,REGULAR,USD,Calls,2026-01-30,239.07000732421875,0.005,0.01,0.69295654296875,0,0.0
AMZN260130P00125000,2026-01-08 16:40:31+00:00,125.0,0.02,0.0,0.01,0.0,0.0,1.0,28,2.68750328125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.91256005859375,0,0.0
AMZN260130P00130000,2026-01-21 19:27:05+00:00,130.0,0.01,0.0,0.01,0.0,0.0,25.0,76,2.50000375,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.8390000563401443,0,0.0
AMZN260130P00135000,2026-01-29 15:43:48+00:00,135.0,0.01,0.0,0.01,-0.01,-50.0,2.0,93,2.3750040624999995,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.7708889431423611,0,0.0
AMZN260130P00140000,2026-01-28 17:08:48+00:00,140.0,0.01,0.0,0.01,0.0,0.0,5.0,23,2.2500043749999996,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.7076429094587053,0,0.0
AMZN260130P00145000,2026-01-21 20:09:20+00:00,145.0,0.02,0.0,0.01,0.0,0.0,41.0,91,2.1250046874999997,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.6487586712015085,0,0.0
AMZN260130P00150000,2026-01-23 14:43:33+00:00,150.0,0.01,0.0,0.01,0.0,0.0,20.0,149,1.9375003125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.593800048828125,0,0.0
AMZN260130P00155000,2026-01-21 20:14:55+00:00,155.0,0.02,0.0,0.01,0.0,0.0,120.0,649,1.8125009374999999,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.5423871440272177,0,0.0
AMZN260130P00160000,2026-01-28 17:08:32+00:00,160.0,0.01,0.0,0.01,0.0,0.0,10.0,85,1.6875015625,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.4941875457763671,0,0.0
AMZN260130P00165000,2026-01-28 15:11:05+00:00,165.0,0.01,0.0,0.01,0.0,0.0,1.0,1289,1.5625021874999998,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.4489091352982955,0,0.0
AMZN260130P00170000,2026-01-27 15:07:42+00:00,170.0,0.01,0.0,0.03,0.0,0.0,2.0,75,1.609376953125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.015,0.03,1.4062941607306985,0,0.0
AMZN260130P00175000,2026-01-26 15:04:43+00:00,175.0,0.02,0.0,0.01,0.0,0.0,39.0,771,1.3437532812499997,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.3661143275669643,0,0.0
AMZN260130P00180000,2026-01-26 20:58:50+00:00,180.0,0.01,0.0,0.01,0.0,0.0,149.0,3490,1.2500037499999999,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.328166707356771,0,0.0
AMZN260130P00185000,2026-01-28 16:57:26+00:00,185.0,0.01,0.0,0.01,0.0,0.0,10.0,2183,1.125004375,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.2922703098606418,0,0.0
AMZN260130P00190000,2026-01-28 17:00:28+00:00,190.0,0.01,0.0,0.01,0.0,0.0,21.0,4148,1.000005,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.2582631964432567,0,0.0
AMZN260130P00195000,2026-01-29 14:32:49+00:00,195.0,0.01,0.0,0.01,0.0,0.0,22.0,4059,0.9062509375,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.2260000375600961,0,0.0
AMZN260130P00200000,2026-01-29 15:54:27+00:00,200.0,0.01,0.0,0.01,-0.01,-50.0,104.0,4960,0.8125018749999999,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.005,0.01,1.1953500366210938,0,0.0
AMZN260130P00202500,2026-01-28 16:58:29+00:00,202.5,0.01,0.01,0.02,0.0,0.0,5.0,165,0.8359391406249999,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.015,0.01,1.180592628761574,0,0.0
AMZN260130P00205000,2026-01-29 16:02:45+00:00,205.0,0.03,0.01,0.02,0.0,0.0,42.0,3137,0.7812521875,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.015,0.01,1.1661951576791159,0,0.0
AMZN260130P00207500,2026-01-29 15:11:57+00:00,207.5,0.01,0.01,0.02,-0.02,-66.66667,36.0,1611,0.7187528125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.015,0.01,1.1521446136106928,0,0.0
AMZN260130P00210000,2026-01-29 16:14:30+00:00,210.0,0.03,0.02,0.03,0.01,50.0,80.0,4459,0.7070341796875,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.025,0.009999999999999998,1.1384286063058036,0,0.0
AMZN260130P00212500,2026-01-29 16:00:47+00:00,212.5,0.03,0.02,0.03,0.0,0.0,8.0,607,0.648441015625,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.025,0.009999999999999998,1.125035328584559,0,0.0
AMZN260130P00215000,2026-01-29 16:11:23+00:00,215.0,0.04,0.04,0.05,0.0,0.0,74.0,3483,0.6367223828125,False,REGULAR,USD,Puts,2026-01-30,239.07000732421875,0.045,0.010000000000000002,1.1119535224382266,0,0.0
